global sparsity,begin,end,freq,label smoothing,Accuracy,method
0.9,8000,100000,2000,0.1,0.733500004,magnitude_pruning
0.9,8000,76000,2000,0.1,0.731859982,magnitude_pruning
0.9,20000,100000,4000,0,0.736599982,magnitude_pruning
0.9,8000,100000,4000,0,0.731559992,magnitude_pruning
0.9,20000,76000,4000,0,0.73427999,magnitude_pruning
0.9,40000,100000,2000,0,0.734759986,magnitude_pruning
0.9,8000,76000,8000,0.1,0.732800007,magnitude_pruning
0.9,20000,68000,2000,0,0.736400008,magnitude_pruning
0.9,20000,68000,2000,0.1,0.733219981,magnitude_pruning
0.9,40000,100000,8000,0,0.733340025,magnitude_pruning
0.9,40000,68000,4000,0.1,0.735140026,magnitude_pruning
0.9,20000,100000,8000,0,0.736360013,magnitude_pruning
0.9,40000,68000,4000,0,0.736299992,magnitude_pruning
0.9,20000,68000,4000,0.1,0.734979987,magnitude_pruning
0.9,20000,100000,4000,0.1,0.736660004,magnitude_pruning
0.9,8000,68000,8000,0,0.731760025,magnitude_pruning
0.9,40000,76000,8000,0.1,0.736660004,magnitude_pruning
0.9,8000,68000,2000,0.1,0.72517997,magnitude_pruning
0.9,8000,100000,2000,0,0.733659983,magnitude_pruning
0.9,20000,100000,2000,0,0.735080004,magnitude_pruning
0.9,40000,76000,4000,0.1,0.736899972,magnitude_pruning
0.9,8000,76000,4000,0.1,0.731480002,magnitude_pruning
0.9,20000,100000,8000,0.1,0.734920025,magnitude_pruning
0.9,20000,76000,8000,0.1,0.734260023,magnitude_pruning
0.9,40000,100000,2000,0.1,0.73457998,magnitude_pruning
0.9,20000,76000,2000,0,0.736180007,magnitude_pruning
0.9,8000,68000,2000,0,0.729480028,magnitude_pruning
0.9,8000,68000,4000,0.1,0.727140009,magnitude_pruning
0.9,8000,100000,8000,0.1,0.733099997,magnitude_pruning
0.9,40000,68000,8000,0,0.735339999,magnitude_pruning
0.9,20000,100000,2000,0.1,0.734719992,magnitude_pruning
0.9,8000,68000,4000,0,0.729179978,magnitude_pruning
0.9,40000,76000,4000,0,0.737460017,magnitude_pruning
0.9,40000,100000,4000,0.1,0.732940018,magnitude_pruning
0.9,20000,76000,2000,0.1,0.735660017,magnitude_pruning
0.9,20000,76000,8000,0,0.735419989,magnitude_pruning
0.9,40000,68000,2000,0,0.737259984,magnitude_pruning
0.9,40000,76000,2000,0.1,0.739099979,magnitude_pruning
0.9,8000,76000,4000,0,0.729200006,magnitude_pruning
0.9,40000,68000,2000,0.1,0.736720026,magnitude_pruning
0.9,8000,100000,4000,0.1,0.734080017,magnitude_pruning
0.9,40000,76000,8000,0,0.736720026,magnitude_pruning
0.9,8000,76000,8000,0,0.732760012,magnitude_pruning
0.9,20000,68000,8000,0.1,0.734459996,magnitude_pruning
0.9,8000,76000,2000,0,0.731419981,magnitude_pruning
0.9,8000,68000,8000,0.1,0.728120029,magnitude_pruning
0.9,40000,100000,4000,0,0.731079996,magnitude_pruning
0.9,40000,100000,8000,0.1,0.730099976,magnitude_pruning
0.95,20000,100000,4000,0,0.70352,magnitude_pruning
0.95,20000,100000,2000,0.1,0.699100018,magnitude_pruning
0.95,40000,100000,4000,0,0.695280015,magnitude_pruning
0.95,40000,100000,8000,0.1,0.681879997,magnitude_pruning
0.95,20000,100000,8000,0.1,0.692600012,magnitude_pruning
0.95,40000,100000,2000,0.1,0.693159997,magnitude_pruning
0.95,40000,100000,2000,0,0.695720017,magnitude_pruning
0.95,8000,100000,4000,0,0.703299999,magnitude_pruning
0.95,20000,76000,8000,0.1,0.703639984,magnitude_pruning
0.95,40000,68000,2000,0.1,0.701820016,magnitude_pruning
0.95,40000,100000,8000,0,0.687439978,magnitude_pruning
0.95,8000,100000,4000,0.1,0.696940005,magnitude_pruning
0.95,40000,100000,4000,0.1,0.688799977,magnitude_pruning
0.95,8000,76000,8000,0.1,0.702400029,magnitude_pruning
0.95,40000,76000,8000,0.1,0.695819974,magnitude_pruning
0.95,20000,100000,4000,0.1,0.698939979,magnitude_pruning
0.95,20000,100000,8000,0,0.701420009,magnitude_pruning
0.95,20000,68000,2000,0.1,0.704180002,magnitude_pruning
0.95,40000,68000,4000,0.1,0.700299978,magnitude_pruning
0.95,40000,68000,2000,0,0.705919981,magnitude_pruning
0.95,20000,68000,8000,0.1,0.703100026,magnitude_pruning
0.95,8000,68000,8000,0.1,0.698339999,magnitude_pruning
0.98,40000,100000,2000,0.1,0.578999996,magnitude_pruning
