Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  83     0.1000     0.0806    97.2800     0.5560    87.4500    13.5365      0.0986
  84     0.1000     0.0671    97.7700     0.5610    88.0200    13.5636      0.0970
  85     0.1000     0.0724    97.6740     0.5558    87.6100    13.4870      0.0955
  86     0.1000     0.1564    95.1680     0.6114    86.1000    13.3671      0.0940
  87     0.1000     0.1306    95.8280     0.6400    86.0500    13.5117      0.0926
  88     0.1000     0.0829    97.3080     0.5624    87.7100    13.4255      0.0912
  89     0.1000     0.0859    97.0960     0.6146    86.9400    13.5831      0.0899
  90     0.1000     0.0883    97.0680     0.5867    87.3700    13.6734      0.0886
  91     0.1000     0.0624    97.9200     0.5609    87.7500    13.6189      0.0873
  92     0.1000     0.0558    98.1580     0.5396    88.2600    13.5572      0.0861
  93     0.1000     0.0863    97.2660     0.5992    86.6000    13.5675      0.0850
  94     0.1000     0.0857    97.1460     0.5802    86.9800    13.6126      0.0838
  95     0.1000     0.0721    97.7360     0.5841    87.5400    13.5718      0.0827
  96     0.1000     0.0581    98.1000     0.5513    87.9800    13.5195      0.0817
  97     0.1000     0.1465    95.6620     0.7049    85.9200    13.4874      0.0806
  98     0.1000     0.0503    98.2960     0.5559    88.0400    13.4801      0.0796
  99     0.1000     0.0855    97.1140     0.5670    87.4100    13.7003      0.0786
 100     0.1000     0.0576    98.0460     0.5514    88.2100    13.6419      0.0777
 101     0.1000     0.0479    98.4440     0.5896    88.2600    13.4425      0.0768
 102     0.1000     0.0581    98.0760     0.5886    87.5600    13.6659      0.0759
 103     0.1000     0.0656    97.8820     0.5813    87.9000    13.6636      0.0750
 104     0.1000     0.0489    98.4200     0.5262    88.3300    13.6991      0.0741
 105     0.1000     0.0938    96.9900     0.6247    86.9500    13.7174      0.0733
 106     0.1000     0.0684    97.8300     0.5759    87.1900    13.5556      0.0725
 107     0.1000     0.0406    98.6400     0.5540    88.1600    13.4725      0.0717
 108     0.1000     0.0437    98.5600     0.5675    88.0800    13.6754      0.0710
 109     0.1000     0.0534    98.2260     0.5778    88.3300    13.4925      0.0703
 110     0.1000     0.0528    98.2780     0.6054    87.6900    13.5012      0.0696
 111     0.1000     0.0639    97.9500     0.6028    87.8100    13.7258      0.0689
 112     0.1000     0.0444    98.5900     0.5815    88.2500    13.5715      0.0682
 113     0.1000     0.0443    98.4980     0.5931    88.0500    13.5768      0.0676
 114     0.1000     0.0651    97.9400     0.6082    87.7600    13.5603      0.0670
 115     0.1000     0.0448    98.5280     0.5767    88.0200    13.5258      0.0663
 116     0.1000     0.0660    97.7620     0.6078    87.5000    13.4748      0.0658
 117     0.1000     0.0548    98.2140     0.5555    88.1800    13.4921      0.0652
 118     0.1000     0.0513    98.2880     0.6036    88.4100    13.4672      0.0646
 119     0.1000     0.0723    97.6740     0.6060    87.5400    13.5646      0.0641
 120     0.1000     0.0464    98.4680     0.5752    88.0200    13.5426      0.0635
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
 121     0.1000     0.0442    98.5300     0.6311    87.9600    13.6935      0.0630
 122     0.1000     0.0817    97.3960     0.6381    87.2700    13.7024      0.0625
 123     0.1000     0.0531    98.3060     0.6200    87.7500    13.5840      0.0620
 124     0.1000     0.0686    97.7220     0.6131    86.9500    13.5639      0.0616
 125     0.1000     0.0574    98.1480     0.5837    88.1700    13.5077      0.0611
 126     0.1000     0.0361    98.7900     0.5460    88.3900    13.5220      0.0606
 127     0.1000     0.0436    98.5440     0.6010    88.1900    13.4706      0.0602
 128     0.1000     0.0508    98.3260     0.5857    87.7300    13.5336      0.0598
 129     0.1000     0.0340    98.9120     0.6055    88.5600    13.5668      0.0594
 130     0.1000     0.0640    97.9780     0.6880    87.3300    13.6859      0.0590
 131     0.1000     0.0556    98.2060     0.6297    87.9800    13.3950      0.0586
 132     0.1000     0.0374    98.7700     0.5767    88.5000    13.6231      0.0582
 133     0.1000     0.0781    97.5320     0.6557    87.0000    13.5986      0.0578
 134     0.1000     0.0466    98.5120     0.6280    88.0300    13.5366      0.0574
 135     0.1000     0.1173    96.5960     0.7442    86.4800    13.7334      0.0570
 136     0.1000     0.0367    98.7860     0.6102    87.9700    13.5567      0.0567
 137     0.1000     0.1168    97.0220     0.7436    86.4500    13.5935      0.0563
 138     0.1000     0.1006    97.1540     0.6809    86.9200    13.4571      0.0559
 139     0.1000     0.0464    98.5640     0.5973    88.1200    13.6350      0.0556
 140     0.1000     0.0446    98.5160     0.6007    87.6700    13.4961      0.0553
 141     0.1000     0.0425    98.6460     0.6120    88.2300    13.5281      0.0550
