Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
finish saving initial checkpoint
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
 180     0.1000     0.0186    99.4120     0.5658    89.2700   119.3873      0.2226
 181     0.1000     0.0156    99.5580     0.5906    89.4100   119.3398      0.2215
 182     0.1000     0.0162    99.4880     0.6125    89.2000   119.3672      0.2203
 183     0.1000     0.0143    99.5940     0.6006    89.2200   119.3940      0.2191
 184     0.1000     0.0148    99.5240     0.6239    88.9800   119.3441      0.2180
 185     0.1000     0.0142    99.5620     0.6313    89.4500   119.3322      0.2169
 186     0.1000     0.0181    99.4800     0.5830    89.5800   119.3550      0.2158
 187     0.1000     0.0159    99.4840     0.5888    89.5000   119.4027      0.2147
 188     0.1000     0.0151    99.5160     0.5898    89.7900   119.3304      0.2136
 189     0.1000     0.0144    99.5460     0.6316    88.9800   119.3160      0.2126
 190     0.1000     0.0121    99.6080     0.6040    89.7400   119.3508      0.2115
 191     0.1000     0.0157    99.4980     0.5974    89.4200   119.3627      0.2104
 192     0.1000     0.0162    99.5000     0.7094    87.7000   119.3118      0.2094
 193     0.1000     0.0133    99.5860     0.6204    89.3000   119.4158      0.2084
 194     0.1000     0.0158    99.5320     0.6479    89.0100   119.3952      0.2074
 195     0.1000     0.0149    99.5460     0.6253    89.3100   119.3022      0.2063
 196     0.1000     0.0168    99.4800     0.6430    89.4000   119.2911      0.2053
 197     0.1000     0.0173    99.4500     0.5918    89.8600   119.2896      0.2043
 198     0.1000     0.0149    99.5580     0.5720    89.7200   119.3397      0.2033
 199     0.1000     0.0147    99.5820     0.5897    89.3700   119.3077      0.2023
 200     0.1000     0.0160    99.4960     0.6046    89.1800   119.2817      0.2014
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
 201     0.1000     0.0134    99.5720     0.5815    90.0500   119.3731      0.2004
 202     0.1000     0.0119    99.6360     0.6159    89.4100   119.3203      0.1994
 203     0.1000     0.0138    99.5820     0.5778    89.7300   119.3187      0.1985
 204     0.1000     0.0140    99.5680     0.5844    89.6900   119.3317      0.1975
 205     0.1000     0.0127    99.6180     0.6969    88.7900   119.3193      0.1966
 206     0.1000     0.0146    99.5620     0.5949    89.7100   119.3236      0.1957
 207     0.1000     0.0146    99.5460     0.5803    89.5700   119.3437      0.1947
 208     0.1000     0.0131    99.6120     0.6221    89.2300   119.3419      0.1938
 209     0.1000     0.0131    99.5800     0.6004    89.9200   119.3519      0.1929
 210     0.1000     0.0154    99.5340     0.5912    89.5500   119.3230      0.1920
 211     0.1000     0.0134    99.5600     0.5943    89.7800   119.3380      0.1911
 212     0.1000     0.0157    99.5280     0.5800    89.5200   119.3412      0.1902
 213     0.1000     0.0130    99.5940     0.6329    89.0700   119.3219      0.1894
 214     0.1000     0.0175    99.4540     0.5900    89.5700   119.3284      0.1885
 215     0.1000     0.0124    99.6200     0.5661    89.6800   119.4029      0.1877
 216     0.1000     0.0139    99.5280     0.5923    89.4100   119.3154      0.1868
 217     0.1000     0.0128    99.6200     0.5679    89.1900   119.3264      0.1860
 218     0.1000     0.0130    99.6020     0.5829    89.5700   119.3233      0.1851
 219     0.1000     0.0138    99.5560     0.5734    89.8700   119.3390      0.1843
 220     0.1000     0.0110    99.6460     0.6188    89.4600   119.3339      0.1835
 221     0.1000     0.0153    99.5040     0.6105    89.2700   119.3487      0.1826
 222     0.1000     0.0141    99.5840     0.6049    89.5100   119.3976      0.1818
 223     0.1000     0.0117    99.6300     0.6138    89.5900   119.3978      0.1810
 224     0.1000     0.0128    99.6080     0.6100    89.4000   119.3363      0.1802
 225     0.1000     0.0141    99.5960     0.6115    89.6300   119.3268      0.1794
 226     0.1000     0.0150    99.5280     0.7701    87.6100   119.3275      0.1786
 227     0.1000     0.0132    99.5940     0.5990    89.6400   119.3282      0.1779
 228     0.1000     0.0143    99.5520     0.6660    88.7600   119.3314      0.1771
 229     0.1000     0.0131    99.5780     0.6128    89.2800   119.3153      0.1763
 230     0.1000     0.0110    99.6520     0.6709    89.0700   119.3012      0.1756
 231     0.1000     0.0123    99.6220     0.6558    89.4200   119.3021      0.1748
 232     0.1000     0.0139    99.5740     0.6816    88.4300   119.3192      0.1741
 233     0.1000     0.0113    99.6460     0.6267    89.2400   119.3403      0.1734
 234     0.1000     0.0118    99.6340     0.6993    89.0200   119.2835      0.1726
 235     0.1000     0.0135    99.5640     0.6159    89.5400   119.3101      0.1719
 236     0.1000     0.0131    99.5840     0.6048    89.5300   119.2994      0.1711
 237     0.1000     0.0117    99.6480     0.6243    89.5000   119.3334      0.1704
 238     0.1000     0.0148    99.5440     0.5977    89.6100   119.3074      0.1697
 239     0.1000     0.0095    99.6840     0.5983    89.7300   119.2962      0.1689
 240     0.1000     0.0148    99.5660     0.6010    88.8400   119.3053      0.1682
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
 241     0.1000     0.0123    99.6120     0.6213    89.5700   119.2967      0.1675
 242     0.1000     0.0114    99.6680     0.6292    89.5600   119.2892      0.1668
 243     0.1000     0.0107    99.6780     0.6298    89.4900   119.3105      0.1661
 244     0.1000     0.0131    99.5840     0.8589    86.7400   119.2873      0.1655
 245     0.1000     0.0095    99.7240     0.6463    89.4700   119.3077      0.1648
 246     0.1000     0.0120    99.6620     0.6389    89.1000   119.2704      0.1641
 247     0.1000     0.0123    99.6060     0.6100    89.9300   119.2925      0.1635
 248     0.1000     0.0132    99.6060     0.6278    88.7700   119.3233      0.1628
 249     0.1000     0.0132    99.5860     0.6057    89.3500   119.3027      0.1622
 250     0.1000     0.0115    99.6060     0.6352    89.6500   119.2928      0.1616
 251     0.1000     0.0146    99.5600     0.5803    89.4800   119.2817      0.1609
 252     0.1000     0.0105    99.6960     0.6172    89.6500   119.2886      0.1602
 253     0.1000     0.0145    99.5380     0.6172    89.3900   119.3545      0.1596
 254     0.1000     0.0131    99.5660     0.6042    89.4900   119.2661      0.1590
 255     0.1000     0.0101    99.6860     0.6260    89.6600   119.2953      0.1584
 256     0.1000     0.0111    99.6680     0.6457    89.3600   119.2860      0.1577
 257     0.1000     0.0128    99.6280     0.6462    88.8800   119.3047      0.1571
 258     0.1000     0.0114    99.6480     0.6142    89.4200   119.2971      0.1565
 259     0.1000     0.0081    99.7520     0.6470    89.6300   119.3337      0.1559
 260     0.1000     0.0109    99.6400     0.6329    89.3000   119.2845      0.1553
 261     0.1000     0.0147    99.5500     0.5968    89.4900   119.3023      0.1547
 262     0.1000     0.0122    99.5880     0.6334    89.6400   119.3832      0.1541
 263     0.1000     0.0100    99.6980     0.6081    89.9500   119.2869      0.1535
 264     0.1000     0.0084    99.7600     0.6694    89.3400   119.3118      0.1529
 265     0.1000     0.0100    99.6900     0.6234    89.2500   119.2926      0.1523
 266     0.1000     0.0117    99.6300     0.6363    89.3500   119.3402      0.1517
 267     0.1000     0.0114    99.6540     0.6417    89.1500   119.3115      0.1511
 268     0.1000     0.0129    99.5880     0.6413    89.6700   119.3043      0.1506
 269     0.1000     0.0110    99.6720     0.6986    88.8400   119.4967      0.1500
 270     0.1000     0.0115    99.6320     0.6588    89.0700   119.3968      0.1495
 271     0.1000     0.0130    99.5980     0.6302    89.4800   119.3625      0.1489
 272     0.1000     0.0112    99.6500     0.6121    89.6700   119.3951      0.1484
 273     0.1000     0.0119    99.6320     0.6341    89.5000   119.3303      0.1478
 274     0.1000     0.0111    99.6680     0.6293    89.3900   119.3113      0.1472
 275     0.1000     0.0110    99.6580     0.6211    89.7200   119.3364      0.1467
 276     0.1000     0.0087    99.7160     0.7036    88.6800   119.3194      0.1462
 277     0.1000     0.0100    99.7060     0.6477    89.4900   119.4150      0.1456
 278     0.1000     0.0086    99.7360     0.6516    89.4800   119.4407      0.1451
 279     0.1000     0.0119    99.6400     0.6304    89.6600   119.3556      0.1446
 280     0.1000     0.0108    99.6720     0.6489    89.3400   119.2877      0.1440
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
 281     0.1000     0.0095    99.7020     0.7124    88.6900   119.3105      0.1435
 282     0.1000     0.0129    99.5840     0.6415    89.3100   119.2883      0.1430
 283     0.1000     0.0102    99.7040     0.6972    89.1700   119.3115      0.1425
 284     0.1000     0.0121    99.6300     0.6062    89.7700   119.3064      0.1420
 285     0.1000     0.0091    99.7220     0.6313    89.7600   119.3131      0.1415
 286     0.1000     0.0087    99.7240     0.6115    90.1900   119.2996      0.1410
 287     0.1000     0.0104    99.6680     0.6040    90.3100   119.3121      0.1405
 288     0.1000     0.0075    99.7620     0.6197    89.9200   119.3534      0.1400
 289     0.1000     0.0096    99.6900     0.6101    89.9800   119.3845      0.1395
 290     0.1000     0.0099    99.6960     0.6956    89.1300   119.3090      0.1391
 291     0.1000     0.0129    99.5780     0.5932    89.7800   119.3327      0.1386
 292     0.1000     0.0099    99.6940     0.6254    89.7800   119.2884      0.1381
 293     0.1000     0.0100    99.6520     0.6380    89.5300   119.2832      0.1376
 294     0.1000     0.0111    99.6260     0.6437    89.3400   119.3084      0.1371
 295     0.1000     0.0090    99.7300     0.6315    89.5900   119.3914      0.1367
 296     0.1000     0.0119    99.6300     0.6171    89.8100   119.2790      0.1362
 297     0.1000     0.0093    99.7100     0.6934    88.8600   119.2914      0.1358
 298     0.1000     0.0117    99.6460     0.6372    89.4500   119.2959      0.1353
 299     0.1000     0.0114    99.6360     0.6648    89.5300   119.2884      0.1348
 300     0.1000     0.0088    99.7140     0.6451    89.5900   119.2992      0.1344
 301     0.0996     0.0111    99.6520     0.6239    89.5300   119.3455      0.1339
 302     0.0992     0.0122    99.6600     0.6024    90.1500   119.2937      0.1335
 303     0.0988     0.0089    99.7260     0.7507    88.0700   119.3245      0.1330
 304     0.0983     0.0086    99.7280     0.6236    89.7000   119.3539      0.1326
 305     0.0979     0.0065    99.7960     0.6665    89.1700   119.3010      0.1322
 306     0.0975     0.0102    99.6780     0.6266    89.6400   119.2964      0.1318
 307     0.0971     0.0093    99.7120     0.6480    89.5700   119.3248      0.1313
 308     0.0967     0.0091    99.7280     0.6675    89.9200   119.2712      0.1309
 309     0.0963     0.0121    99.6240     0.6346    89.7500   119.3040      0.1305
