Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
SGD (
Parameter Group 0
    dampening: 0
    lr: 0.1
    momentum: 0.0
    nesterov: False
    weight_decay: 0.0
)
Resume training from cifar100_save/endpoints/WideResNet28x10-4/sgd/checkpoint-0.pt
total epochs: 200
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
 138     0.0530     0.0001   100.0000     0.3592    94.0100   141.5554
 139     0.0517     0.0001    99.9980     0.3539    94.0300   141.5798
 140     0.0505     0.0001   100.0000     0.3562    93.9800   141.5715
 141     0.0493     0.0001   100.0000     0.3604    94.0000   141.6039
 142     0.0480     0.0001   100.0000     0.3556    94.1100   141.5784
 143     0.0468     0.0001   100.0000     0.3586    94.1700   141.5737
 144     0.0456     0.0001   100.0000     0.3586    93.9100   141.5350
 145     0.0443     0.0001    99.9980     0.3554    94.0900   141.5811
 146     0.0431     0.0001   100.0000     0.3585    93.9900   141.5749
 147     0.0418     0.0001   100.0000     0.3578    94.0900   141.5813
 148     0.0406     0.0001    99.9980     0.3511    94.1000   141.5626
 149     0.0394     0.0001    99.9980     0.3584    94.1800   141.5831
 150     0.0381     0.0001   100.0000     0.3606    94.1600   141.5607
 151     0.0369     0.0001   100.0000     0.3627    93.9300   141.5583
 152     0.0357     0.0001    99.9960     0.3617    94.1300   141.5974
 153     0.0344     0.0001   100.0000     0.3620    94.0400   141.5531
 154     0.0332     0.0001   100.0000     0.3601    94.0500   141.5827
 155     0.0319     0.0001   100.0000     0.3585    94.1300   141.5907
 156     0.0307     0.0002    99.9960     0.3593    94.0800   141.6331
 157     0.0295     0.0001   100.0000     0.3578    94.1000   141.5614
 158     0.0282     0.0001   100.0000     0.3601    94.0400   141.6086
 159     0.0270     0.0001   100.0000     0.3653    94.0300   141.5798
 160     0.0257     0.0001    99.9960     0.3613    94.0100   141.5471
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
 161     0.0245     0.0001   100.0000     0.3678    93.9900   141.5727
 162     0.0233     0.0001   100.0000     0.3605    93.9900   141.5790
 163     0.0220     0.0001    99.9980     0.3574    94.0900   141.5511
 164     0.0208     0.0001   100.0000     0.3570    93.9800   141.5732
 165     0.0196     0.0001   100.0000     0.3572    94.1600   141.5907
 166     0.0183     0.0001    99.9980     0.3593    93.9300   141.5440
 167     0.0171     0.0001   100.0000     0.3645    94.1300   141.5647
 168     0.0159     0.0001   100.0000     0.3591    94.0500   141.5671
 169     0.0146     0.0001   100.0000     0.3640    94.0300   141.5732
 170     0.0134     0.0001   100.0000     0.3613    94.0700   141.5584
 171     0.0121     0.0001   100.0000     0.3565    94.0200   141.5627
 172     0.0109     0.0001   100.0000     0.3548    94.1300   141.5589
 173     0.0097     0.0001   100.0000     0.3616    94.0200   141.5862
 174     0.0084     0.0001   100.0000     0.3535    94.1600   141.5809
 175     0.0072     0.0001   100.0000     0.3555    94.1100   141.5312
 176     0.0060     0.0001   100.0000     0.3589    94.1800   141.6313
 177     0.0047     0.0001   100.0000     0.3601    94.0500   141.5936
 178     0.0035     0.0001    99.9980     0.3653    93.9400   141.5735
 179     0.0022     0.0001   100.0000     0.3552    94.1100   141.5567
 180     0.0010     0.0001   100.0000     0.3520    94.1700   141.5953
 181     0.0010     0.0001   100.0000     0.3582    93.8500   141.5612
 182     0.0010     0.0001    99.9960     0.3535    94.0800   141.5736
 183     0.0010     0.0001    99.9980     0.3565    94.0600   141.5375
 184     0.0010     0.0001   100.0000     0.3582    94.0200   141.5876
 185     0.0010     0.0001   100.0000     0.3569    94.0700   141.5719
 186     0.0010     0.0001   100.0000     0.3598    94.1400   141.5883
 187     0.0010     0.0001   100.0000     0.3560    94.1400   141.5570
 188     0.0010     0.0001    99.9980     0.3620    93.9900   141.5785
 189     0.0010     0.0001    99.9980     0.3551    94.0600   141.5817
 190     0.0010     0.0001   100.0000     0.3606    93.9900   141.5697
 191     0.0010     0.0001   100.0000     0.3549    94.1000   141.5681
 192     0.0010     0.0001   100.0000     0.3579    94.1500   141.5441
 193     0.0010     0.0001   100.0000     0.3603    94.0900   141.5692
 194     0.0010     0.0001   100.0000     0.3609    94.1600   141.5889
 195     0.0010     0.0001   100.0000     0.3562    94.1400   141.5822
 196     0.0010     0.0001   100.0000     0.3558    94.1100   141.5760
 197     0.0010     0.0001    99.9980     0.3565    94.1000   141.5614
 198     0.0010     0.0001   100.0000     0.3571    94.1300   141.5692
 199     0.0010     0.0001    99.9980     0.3576    94.1300   141.5799
 200     0.0010     0.0001   100.0000     0.3599    94.0500   141.5692
