global sparsity,begin,end,freq,label smoothing,Accuracy,method
0.7,0,68000,2000,0,0.720539987,random_pruning
0.7,0,68000,4000,0.1,0.720480025,random_pruning
0.7,0,68000,2000,0.1,0.720380008,random_pruning
0.7,0,68000,8000,0.1,0.720359981,random_pruning
0.7,0,76000,2000,0,0.720279992,random_pruning
0.7,20000,40000,8000,0.1,0.720160007,random_pruning
0.7,0,68000,8000,0,0.71991998,random_pruning
0.7,20000,40000,2000,0,0.719820023,random_pruning
0.7,0,68000,4000,0,0.719799995,random_pruning
0.7,0,76000,8000,0,0.719600022,random_pruning
0.7,8000,68000,2000,0,0.71954,random_pruning
0.7,8000,68000,4000,0,0.719479978,random_pruning
0.7,20000,68000,2000,0.1,0.718959987,random_pruning
0.7,8000,68000,4000,0.1,0.718500018,random_pruning
0.7,20000,40000,4000,0.1,0.718420029,random_pruning
0.7,0,76000,4000,0,0.71833998,random_pruning
0.7,0,76000,2000,0.1,0.718240023,random_pruning
0.7,8000,68000,2000,0.1,0.718159974,random_pruning
0.7,20000,68000,4000,0,0.718100011,random_pruning
0.7,0,76000,4000,0.1,0.717999995,random_pruning
0.7,8000,76000,4000,0,0.717999995,random_pruning
0.7,8000,76000,2000,0,0.717920005,random_pruning
0.7,20000,68000,2000,0,0.717639983,random_pruning
0.7,20000,76000,2000,0,0.717559993,random_pruning
0.7,0,76000,8000,0.1,0.717220008,random_pruning
0.7,8000,76000,8000,0,0.717199981,random_pruning
0.7,20000,68000,4000,0.1,0.717119992,random_pruning
0.7,8000,68000,8000,0,0.71706003,random_pruning
0.7,20000,68000,8000,0.1,0.716920018,random_pruning
0.7,8000,68000,8000,0.1,0.716539979,random_pruning
0.7,8000,76000,2000,0.1,0.716000021,random_pruning
0.7,8000,76000,8000,0.1,0.715839982,random_pruning
0.7,20000,68000,8000,0,0.715499997,random_pruning
0.7,8000,76000,4000,0.1,0.715300024,random_pruning
0.7,20000,76000,4000,0.1,0.714739978,random_pruning
0.7,20000,76000,2000,0.1,0.714460015,random_pruning
0.7,20000,76000,8000,0,0.714380026,random_pruning
0.7,20000,76000,4000,0,0.713440001,random_pruning
0.7,20000,76000,8000,0.1,0.712800026,random_pruning
0.8,0,40000,8000,0,0.702059984,random_pruning
0.8,0,40000,4000,0,0.70134002,random_pruning
0.8,0,40000,2000,0,0.700179994,random_pruning
0.8,8000,40000,4000,0,0.699919999,random_pruning
0.8,0,40000,2000,0.1,0.699699998,random_pruning
0.8,8000,40000,2000,0,0.699699998,random_pruning
0.8,0,40000,4000,0.1,0.699360013,random_pruning
0.8,8000,40000,8000,0,0.698000014,random_pruning
0.8,0,40000,8000,0.1,0.697759986,random_pruning
0.8,20000,40000,4000,0,0.697640002,random_pruning
0.8,8000,40000,2000,0.1,0.697560012,random_pruning
0.8,20000,40000,2000,0.1,0.697300017,random_pruning
0.8,20000,40000,2000,0,0.696680009,random_pruning
0.8,0,68000,4000,0,0.696619987,random_pruning
0.8,0,68000,4000,0.1,0.696139991,random_pruning
0.8,8000,40000,4000,0.1,0.695919991,random_pruning
0.8,0,68000,2000,0,0.695919991,random_pruning
0.8,8000,40000,8000,0.1,0.695659995,random_pruning
